#{"t_start": 1720522715.069658, "env_id": "CarRacing-v2"}
r,l,t
-84.081,1000,2860.114
-80.943,1000,2892.758
-77.805,1000,2923.951
-74.666,1000,2957.605
-71.527,1000,2995.584
-68.387,1000,3028.686
-67.134,1000,3059.893
-65.881,1000,3097.29
-64.627,1000,3129.497
-63.373,1000,3162.221
-62.117,1000,3195.935
-62.115,1000,3232.86
-62.112,1000,3267.903
-62.109,1000,3299.334
-62.104,1000,3330.556
-62.099,1000,3367.233
-64.217,1000,3401.594
-66.333,1000,3433.324
-68.449,1000,3466.811
-70.564,1000,3501.452
-72.679,1000,3541.217
-69.949,1000,3575.253
-67.218,1000,3613.634
-64.487,1000,3651.935
-61.754,1000,3684.048
-59.021,1000,3722.21
-61.302,1000,3757.257
-63.582,1000,3792.087
-65.861,1000,3831.417
-68.14,1000,3870.406
-70.417,1000,3904.945
-69.191,1000,3943.217
-67.964,1000,3981.188
-66.736,1000,4018.393
-65.507,1000,4055.885
-64.277,1000,4087.326
-63.506,1000,4125.818
-62.735,1000,4164.414
-61.962,1000,4195.315
-61.189,1000,4231.665
-60.414,1000,4268.547
-62.36,1000,4304.502
-64.304,1000,4339.926
-66.247,1000,4375.926
-68.189,1000,4412.182
-70.131,1000,4449.92
-65.539,1000,4485.559
-60.946,1000,4519.784
-56.352,1000,4554.9
-51.756,1000,4594.718
-47.16,1000,4629.521
-46.012,1000,4663.449
-44.862,1000,4696.283
-43.712,1000,4733.396
-42.56,1000,4766.761
-41.407,1000,4805.425
-44.023,1000,4843.232
-46.639,1000,4875.271
-49.252,1000,4908.52
-51.865,1000,4939.756
-54.477,1000,4975.402
-59.542,1000,5009.694
-64.606,1000,5048.311
-69.669,1000,5084.844
-74.73,1000,5118.295
-79.791,1000,5155.745
-76.079,1000,5192.357
-72.366,1000,5224.444
-68.651,1000,5256.583
-64.935,1000,5287.423
-61.218,1000,5326.768
-59.647,1000,5363.478
-58.074,1000,5398.56
-56.501,1000,5435.127
-54.925,1000,5473.839
-53.349,1000,5507.943
-60.071,1000,5539.22
-66.791,1000,5570.87
-73.51,1000,5604.175
-80.227,1000,5636.381
-86.943,1000,5671.279
-83.59,1000,5705.169
-80.236,1000,5742.453
-76.88,1000,5773.312
-73.523,1000,5808.224
-70.164,1000,5841.794
-77.027,1000,5872.505
-83.889,1000,5910.323
-90.749,1000,5948.6
-97.608,1000,5983.289
-104.465,1000,6016.366
-95.108,1000,6049.661
-85.75,1000,6084.294
-76.39,1000,6121.763
-67.029,1000,6153.053
-57.666,1000,6187.359
-57.01,1000,6224.524
-56.352,1000,6255.581
-55.693,1000,6294.998
-55.032,1000,6326.526
-54.37,1000,6357.701
-58.014,1000,6392.919
-61.656,1000,6430.982
-65.297,1000,6464.695
-68.936,1000,6503.393
-72.573,1000,6536.899
-78.127,1000,6567.771
-83.679,1000,6605.485
-89.229,1000,6644.557
-94.777,1000,6678.97
-100.324,1000,6709.533
-90.488,1000,6748.897
-80.652,1000,6784.097
-70.813,1000,6819.768
-60.972,1000,6857.042
-51.129,1000,6896.335
-52.59,1000,6932.825
-54.05,1000,6963.609
-55.507,1000,7002.148
-56.962,1000,7036.513
-58.415,1000,7071.519
-60.788,1000,7104.994
-63.158,1000,7141.076
-65.526,1000,7172.658
-67.893,1000,7211.844
-70.257,1000,7242.46
-79.775,1000,7278.739
-89.291,1000,7315.997
-98.806,1000,7348.492
-108.318,1000,7388.026
-117.827,1000,7424.632
-111.753,1000,7456.622
-105.676,1000,7489.133
-99.597,1000,7525.785
-93.516,1000,7564.28
-87.433,1000,7598.067
-81.531,1000,7633.298
-75.627,1000,7664.93
-69.721,1000,7697.01
-63.813,1000,7728.282
-57.902,1000,7765.273
-55.515,1000,7799.651
-53.125,1000,7839.28
-50.733,1000,7871.339
-48.338,1000,7903.267
-45.941,1000,7940.337
-44.272,1000,7972.091
-42.6,1000,8008.513
-40.926,1000,8043.221
-39.25,1000,8082.632
-37.57,1000,8117.623
-33.662,1000,8149.579
-29.75,1000,8185.422
-25.836,1000,8224.036
-21.92,1000,8256.404
-18.001,1000,8287.509
-23.869,1000,8322.675
-29.734,1000,8356.752
-35.596,1000,8392.82
-41.456,1000,8427.428
-47.313,1000,8466.194
-44.338,1000,8502.405
-41.361,1000,8541.763
-38.382,1000,8575.509
-35.399,1000,8613.436
-32.414,1000,8649.838
-32.728,1000,8689.656
-33.039,1000,8726.044
-33.348,1000,8757.049
-33.654,1000,8796.124
-33.956,1000,8828.64
-31.33,1000,8866.633
-28.701,1000,8901.49
-26.07,1000,8934.154
-23.435,1000,8967.997
-20.797,1000,8999.633
-24.502,1000,9038.429
-28.204,1000,9070.172
-31.904,1000,9108.542
-35.6,1000,9140.542
-39.293,1000,9175.744
-34.71,1000,9207.383
-30.124,1000,9240.448
-25.535,1000,9278.273
-20.943,1000,9310.749
-16.348,1000,9349.991
-23.048,1000,9380.186
-29.745,1000,9419.478
-36.438,1000,9449.497
-43.128,1000,9486.378
-49.815,1000,9518.043
-43.415,1000,9551.476
-37.012,1000,9584.193
-30.605,1000,9618.998
-24.195,1000,9651.248
-17.782,1000,9689.862
-17.041,1000,9726.402
-16.296,1000,9761.914
-15.547,1000,9796.542
-14.795,1000,9828.704
-14.039,1000,9865.407
-16.87,1000,9901.382
-19.697,1000,9939.473
-22.52,1000,9971.965
-25.34,1000,10005.923
-28.156,1000,10044.557
-21.466,1000,10080.289
-14.773,1000,10118.296
-8.075,1000,10156.711
-1.374,1000,10189.424
5.331,1000,10226.021
5.003,1000,10260.285
4.678,1000,10299.19
4.357,1000,10329.615
4.04,1000,10367.306
3.727,1000,10404.277
3.2,1000,10442.439
2.678,1000,10474.14
2.159,1000,10512.067
1.645,1000,10546.065
1.134,1000,10585.041
-1.256,1000,10620.126
-3.643,1000,10652.991
-6.025,1000,10691.945
-8.403,1000,10726.685
-10.777,1000,10758.934
-11.065,1000,10793.943
-11.35,1000,10830.293
-11.63,1000,10867.105
-11.906,1000,10901.39
-12.178,1000,10940.894
-10.452,1000,10973.695
-8.722,1000,11007.191
-6.989,1000,11037.915
-5.25,1000,11068.13
-3.508,1000,11102.085
-4.565,1000,11140.273
-5.617,1000,11173.974
-6.665,1000,11212.365
-7.709,1000,11244.747
-8.749,1000,11275.708
-7.397,1000,11310.632
-6.04,1000,11345.364
-4.679,1000,11383.864
-3.314,1000,11414.53
-1.944,1000,11452.285
-4.084,1000,11485.977
-6.22,1000,11525.428
-8.351,1000,11557.685
-10.477,1000,11588.827
-12.6,1000,11628.06
-10.383,1000,11662.595
-8.162,1000,11696.844
-5.937,1000,11733.137
-3.707,1000,11768.428
-1.472,1000,11805.435
-5.386,1000,11845.245
-9.295,1000,11884.726
-13.2,1000,11922.142
-17.1,1000,11957.542
-20.995,1000,11995.754
-15.394,1000,12032.759
-9.789,1000,12065.855
-4.178,1000,12103.15
1.437,1000,12140.279
7.057,1000,12173.913
6.444,1000,12213.633
5.837,1000,12252.054
5.234,1000,12291.588
4.636,1000,12326.197
4.043,1000,12356.58
4.644,1000,12390.407
5.251,1000,12427.061
5.862,1000,12465.193
6.478,1000,12499.813
7.099,1000,12536.868
7.366,1000,12576.077
7.637,1000,12611.734
7.914,1000,12646.189
8.195,1000,12685.373
8.481,1000,12717.61
10.275,1000,12748.672
12.075,1000,12788.41
13.879,1000,12818.909
15.687,1000,12855.403
17.501,1000,12886.959
19.708,1000,12926.655
21.92,1000,12965.389
24.137,1000,12996.331
26.359,1000,13036.236
28.585,1000,13074.787
19.493,1000,13110.673
10.406,1000,13143.688
1.324,1000,13174.492
-7.753,1000,13209.919
-16.826,1000,13241.702
-6.124,1000,13276.621
4.582,1000,13308.453
15.293,1000,13345.518
26.009,1000,13385.276
36.73,1000,13424.835
28.07,1000,13462.212
19.415,1000,13494.077
10.765,1000,13525.656
2.119,1000,13556.691
-6.522,1000,13587.21
-1.945,1000,13626.831
2.636,1000,13660.779
7.222,1000,13700.77
11.812,1000,13734.132
16.407,1000,13770.657
20.527,1000,13809.168
24.652,1000,13839.721
28.781,1000,13872.804
32.914,1000,13910.372
37.053,1000,13946.736
37.083,1000,13979.555
37.117,1000,14010.303
37.156,1000,14047.669
37.2,1000,14078.775
37.248,1000,14111.21
41.254,1000,14150.091
45.264,1000,14187.491
49.278,1000,14221.546
53.297,1000,14254.922
57.321,1000,14293.397
56.013,1000,14331.647
54.71,1000,14361.946
53.411,1000,14395.337
52.116,1000,14430.915
50.826,1000,14470.599
57.964,1000,14509.319
65.106,1000,14548.146
72.252,1000,14580.021
79.402,1000,14617.428
86.557,1000,14656.771
82.021,1000,14691.317
77.489,1000,14729.349
72.962,1000,14766.761
68.438,1000,14803.033
63.919,1000,14841.356
70.084,1000,14880.016
76.253,1000,14917.726
82.426,1000,14957.363
88.603,1000,14989.469
94.784,1000,15023.546
103.389,1000,15053.998
111.998,1000,15084.21
120.611,1000,15119.761
129.228,1000,15149.86
137.848,1000,15187.706
135.31,1000,15223.65
132.775,1000,15258.712
130.244,1000,15292.542
127.717,1000,15330.761
125.193,1000,15361.273
127.689,1000,15399.774
130.188,1000,15433.646
132.692,1000,15465.278
135.198,1000,15497.348
137.708,1000,15534.389
141.802,1000,15573.671
145.9,1000,15608.435
150.001,1000,15640.633
154.105,1000,15679.356
158.212,1000,15711.597
157.786,1000,15745.495
157.362,1000,15780.625
156.942,1000,15819.461
156.525,1000,15850.672
156.111,1000,15889.044
157.862,1000,15926.574
159.616,1000,15960.098
161.373,1000,15999.839
163.133,1000,16037.173
164.895,1000,16075.412
159.987,1000,16109.132
155.081,1000,16148.319
150.178,1000,16185.107
145.277,1000,16221.268
140.379,1000,16253.522
140.243,1000,16288.075
140.11,1000,16319.355
139.979,1000,16353.688
139.85,1000,16385.252
139.723,1000,16417.788
143.121,1000,16454.421
146.521,1000,16488.061
149.923,1000,16520.393
153.327,1000,16554.579
156.732,1000,16592.531
155.467,1000,16630.848
154.203,1000,16670.724
152.941,1000,16708.1
151.68,1000,16739.063
150.421,1000,16778.165
157.628,1000,16816.755
164.837,1000,16852.075
172.047,1000,16891.082
179.259,1000,16930.051
186.472,1000,16962.018
178.711,1000,16995.669
170.952,1000,17030.584
163.193,1000,17066.415
155.436,1000,17097.748
147.68,1000,17133.745
151.511,1000,17167.797
155.342,1000,17204.287
159.175,1000,17236.861
163.008,1000,17267.076
166.842,1000,17303.797
160.787,1000,17340.649
154.734,1000,17374.881
148.68,1000,17411.697
142.628,1000,17447.674
136.575,1000,17480.222
150.57,1000,17513.272
164.565,1000,17550.265
178.561,1000,17582.728
192.556,1000,17612.771
206.552,1000,17649.489
200.225,1000,17688.478
193.898,1000,17722.233
187.571,1000,17752.32
181.243,1000,17790.977
174.916,1000,17826.914
174.116,1000,17859.615
173.316,1000,17894.803
172.516,1000,17926.063
171.715,1000,17959.539
170.914,1000,17997.086
167.573,1000,18027.713
164.232,1000,18059.428
160.89,1000,18096.796
157.547,1000,18128.307
154.203,1000,18162.466
153.125,1000,18198.341
152.046,1000,18234.72
150.965,1000,18264.969
149.884,1000,18302.401
148.802,1000,18335.087
160.82,1000,18366.418
172.838,1000,18400.805
184.854,1000,18436.621
196.868,1000,18470.527
208.881,1000,18507.524
202.932,1000,18540.658
196.981,1000,18577.569
191.029,1000,18611.354
185.075,1000,18646.545
179.119,1000,18684.324
177.493,1000,18716.978
175.866,1000,18754.149
174.236,1000,18786.79
172.605,1000,18820.848
170.971,1000,18857.69
169.521,1000,18889.147
168.068,1000,18926.847
166.614,1000,18964.219
165.157,1000,19002.797
163.697,1000,19035.324
167.965,1000,19066.598
172.231,1000,19103.281
176.494,1000,19137.967
180.754,1000,19174.919
185.012,1000,19214.836
187.998,1000,19250.01
190.981,1000,19281.938
193.962,1000,19317.51
196.939,1000,19353.191
199.914,1000,19392.265
203.343,1000,19422.661
206.769,1000,19453.072
210.192,1000,19490.845
213.612,1000,19528.252
217.028,1000,19561.359
216.342,1000,19596.127
215.653,1000,19629.353
214.961,1000,19667.984
214.266,1000,19706.128
213.567,1000,19738.511
212.923,1000,19768.707
212.277,1000,19807.149
211.626,1000,19837.246
210.973,1000,19874.038
210.316,1000,19905.041
212.633,1000,19941.742
214.946,1000,19979.271
217.255,1000,20011.562
219.561,1000,20042.921
221.864,1000,20077.216
225.751,1000,20116.377
229.634,1000,20152.077
233.513,1000,20189.724
237.389,1000,20226.295
241.261,1000,20260.381
234.299,1000,20297.303
227.333,1000,20336.5
220.364,1000,20371.501
213.39,1000,20403.967
206.413,1000,20438.491
209.354,1000,20476.199
212.291,1000,20509.181
215.224,1000,20546.056
218.153,1000,20585.075
221.078,1000,20618.637
223.608,1000,20656.944
226.134,1000,20695.955
228.656,1000,20726.637
231.174,1000,20762.143
233.687,1000,20793.2
212.969,1000,20833.142
192.246,1000,20864.67
171.519,1000,20901.539
150.788,1000,20935.443
130.052,1000,20969.716
154.541,1000,21008.229
179.025,1000,21043.868
203.504,1000,21081.309
227.979,1000,21112.727
252.449,1000,21146.475
253.042,1000,21185.796
253.631,1000,21219.357
254.215,1000,21252.2
254.794,1000,21289.598
255.368,1000,21323.847
260.125,1000,21357.571
264.877,1000,21388.317
269.625,1000,21418.688
274.368,1000,21449.977
279.106,1000,21488.016
271.954,1000,21523.332
264.797,1000,21562.145
257.636,1000,21600.41
250.469,1000,21638.088
243.298,1000,21676.915
252.597,1000,21712.852
261.891,1000,21748.249
271.18,1000,21786.625
280.464,1000,21824.385
289.743,1000,21856.773
286.347,1000,21891.571
282.945,1000,21924.798
279.539,1000,21961.443
276.128,1000,21994.476
272.712,1000,22029.27
276.156,1000,22062.377
279.595,1000,22096.728
283.03,1000,22131.19
286.459,1000,22167.521
289.884,1000,22203.513
267.219,1000,22237.139
244.549,1000,22273.725
221.874,1000,22310.678
199.194,1000,22347.696
176.509,1000,22382.575
194.437,1000,22416.91
212.36,1000,22450.768
230.279,1000,22483.298
248.192,1000,22515.782
266.101,1000,22546.923
265.029,1000,22584.975
263.953,1000,22622.643
262.871,1000,22660.124
261.785,1000,22698.379
260.694,1000,22732.354
257.423,1000,22762.384
254.148,1000,22793.953
250.867,1000,22829.97
247.582,1000,22864.88
244.292,1000,22895.415
246.483,1000,22929.078
248.67,1000,22962.002
250.851,1000,22994.453
253.028,1000,23029.209
255.201,1000,23068.033
256.088,1000,23101.853
256.971,1000,23131.893
257.849,1000,23170.399
258.723,1000,23201.141
259.591,1000,23237.143
252.295,1000,23270.553
244.994,1000,23305.294
237.689,1000,23338.486
230.379,1000,23376.814
223.064,1000,23409.72
238.756,1000,23449.466
254.443,1000,23482.941
270.125,1000,23516.664
285.803,1000,23549.885
301.476,1000,23581.639
306.702,1000,23617.156
311.923,1000,23647.205
317.139,1000,23677.919
322.351,1000,23717.769
327.559,1000,23749.614
318.508,1000,23785.34
309.453,1000,23825.173
300.393,1000,23862.574
291.329,1000,23896.029
282.261,1000,23932.569
286.877,1000,23971.622
291.49,1000,24003.584
296.098,1000,24038.011
300.702,1000,24076.877
305.301,1000,24111.883
312.805,1000,24148.754
320.304,1000,24186.613
327.799,1000,24217.048
335.29,1000,24251.753
342.777,1000,24287.85
345.082,1000,24325.702
347.384,1000,24361.717
349.681,1000,24393.116
351.974,1000,24423.763
354.263,1000,24463.148
350.33,1000,24501.981
346.392,1000,24534.649
342.451,1000,24573.283
338.505,1000,24605.786
334.556,1000,24638.655
338.227,1000,24669.426
341.895,1000,24708.481
345.559,1000,24741.625
349.219,1000,24780.857
352.875,1000,24812.729
350.044,1000,24845.695
347.209,1000,24879.018
344.37,1000,24913.318
341.527,1000,24951.745
338.681,1000,24981.851
339.974,1000,25018.733
341.264,1000,25057.141
342.55,1000,25092.63
343.832,1000,25124.336
345.11,1000,25162.211
349.515,1000,25199.868
353.916,1000,25233.708
358.313,1000,25265.833
362.707,1000,25301.719
367.097,1000,25338.762
370.67,1000,25373.991
374.239,1000,25413.243
377.805,1000,25449.424
381.367,1000,25488.121
384.925,1000,25525.505
380.644,1000,25558.518
376.359,1000,25597.172
372.071,1000,25636.701
367.779,1000,25672.972
363.484,1000,25703.886
367.919,1000,25738.68
372.351,1000,25774.876
376.78,1000,25805.379
381.206,1000,25842.13
385.628,1000,25879.275
378.547,1000,25917.683
371.463,1000,25954.124
364.376,1000,25987.34
357.286,1000,26018.469
350.192,1000,26051.506
357.999,1000,26082.73
365.803,1000,26115.118
373.604,1000,26151.223
381.402,1000,26186.187
389.197,1000,26222.259
383.181,1000,26256.168
377.162,1000,26293.926
371.14,1000,26329.666
365.115,1000,26367.456
359.087,1000,26398.423
360.532,1000,26433.465
361.975,1000,26470.099
363.414,1000,26506.321
364.85,1000,26542.721
366.284,1000,26572.883
352.28,1000,26609.792
338.274,1000,26640.271
324.265,1000,26676.868
310.253,1000,26715.001
296.238,1000,26753.027
298.331,1000,26788.85
300.421,1000,26827.828
302.509,1000,26864.486
304.594,1000,26901.885
306.676,1000,26940.371
322.794,1000,26980.25
338.908,1000,27011.204
355.02,1000,27050.838
371.13,1000,27087.907
387.237,1000,27125.167
384.115,1000,27160.043
380.99,1000,27193.677
377.863,1000,27229.154
374.734,1000,27267.166
371.602,1000,27297.17
371.768,1000,27329.41
371.932,1000,27369.142
372.093,1000,27400.958
372.252,1000,27439.368
372.408,1000,27476.788
378.954,1000,27516.62
385.498,1000,27554.917
392.039,1000,27591.403
398.577,1000,27630.929
405.114,1000,27662.974
399.274,1000,27698.547
393.432,1000,27731.931
387.588,1000,27763.724
381.742,1000,27801.502
375.893,1000,27833.227
372.09,1000,27870.505
368.284,1000,27906.875
364.477,1000,27943.091
360.667,1000,27973.693
356.855,1000,28003.924
353.482,1000,28038.799
350.107,1000,28070.874
346.729,1000,28104.502
343.35,1000,28142.389
339.968,1000,28176.799
347.883,1000,28209.74
355.796,1000,28243.567
363.707,1000,28281.711
371.616,1000,28316.535
379.523,1000,28346.723
379.717,1000,28386.647
379.909,1000,28421.32
380.099,1000,28456.029
380.287,1000,28494.364
380.474,1000,28527.179
371.755,1000,28560.723
363.035,1000,28594.882
354.313,1000,28628.023
345.588,1000,28663.006
336.863,1000,28695.497
350.844,1000,28727.146
364.824,1000,28758.876
378.803,1000,28796.779
392.779,1000,28834.384
406.754,1000,28868.869
403.239,1000,28904.705
399.721,1000,28940.448
396.203,1000,28974.296
392.682,1000,29006.693
389.16,1000,29043.444
390.396,1000,29076.159
391.631,1000,29115.165
392.864,1000,29155.032
394.095,1000,29189.849
395.325,1000,29226.532
397.991,1000,29261.129
400.656,1000,29298.634
403.319,1000,29332.181
405.98,1000,29363.07
408.64,1000,29401.816
403.322,1000,29434.193
398.002,1000,29473.79
392.682,1000,29511.061
387.359,1000,29549.553
382.035,1000,29582.584
392.993,1000,29616.29
403.95,1000,29648.254
414.904,1000,29682.885
425.858,1000,29718.126
436.81,1000,29753.985
438.323,1000,29792.555
439.835,1000,29824.417
441.345,1000,29864.006
442.854,1000,29903.547
444.361,1000,29941.182
435.806,1000,29978.967
427.249,1000,30010.741
418.69,1000,30043.075
410.131,1000,30079.711
401.57,1000,30117.128
404.197,1000,30155.23
406.823,1000,30189.51
409.447,1000,30221.262
412.071,1000,30256.139
414.693,1000,30289.633
420.62,1000,30320.288
426.546,1000,30354.947
432.47,1000,30389.486
438.394,1000,30422.799
444.316,1000,30452.984
436.211,1000,30484.904
428.106,1000,30516.39
419.999,1000,30549.406
411.892,1000,30588.852
403.783,1000,30627.207
409.729,1000,30663.726
415.674,1000,30698.535
421.619,1000,30738.045
427.562,1000,30768.515
433.504,1000,30800.722
432.473,1000,30835.093
431.44,1000,30868.992
430.407,1000,30901.733
429.372,1000,30936.991
428.336,1000,30972.009
416.222,1000,31007.638
404.106,1000,31038.326
391.99,1000,31070.993
379.872,1000,31101.885
367.753,1000,31133.23
374.839,1000,31165.642
381.923,1000,31198.145
389.007,1000,31237.201
396.089,1000,31270.709
403.171,1000,31302.984
400.449,1000,31341.614
397.726,1000,31374.373
395.003,1000,31413.982
392.279,1000,31448.647
389.553,1000,31480.709
392.437,1000,31515.664
395.32,1000,31549.808
398.202,1000,31587.906
401.084,1000,31618.175
403.964,1000,31652.005
403.565,1000,31689.942
403.166,1000,31724.88
402.766,1000,31759.235
402.364,1000,31796.223
401.962,1000,31830.784
395.312,1000,31868.381
388.661,1000,31899.648
382.01,1000,31930.52
375.357,1000,31968.181
368.704,1000,32000.332
373.666,1000,32031.335
378.627,1000,32062.895
383.587,1000,32097.51
388.547,1000,32130.015
393.506,1000,32168.414
391.943,1000,32206.932
390.379,1000,32237.769
388.815,1000,32275.549
387.25,1000,32307.867
385.684,1000,32338.779
381.73,1000,32377.538
377.776,1000,32412.762
373.821,1000,32442.974
369.865,1000,32476.044
365.909,1000,32510.829
371.777,1000,32544.716
377.644,1000,32581.987
383.51,1000,32612.087
389.376,1000,32648.726
395.241,1000,32683.973
393.896,1000,32715.019
392.551,1000,32752.731
391.204,1000,32782.947
389.858,1000,32820.982
388.51,1000,32856.265
382.779,1000,32893.827
377.047,1000,32932.614
371.314,1000,32966.606
365.581,1000,32998.218
359.847,1000,33033.27
365.895,1000,33063.891
371.942,1000,33102.884
377.988,1000,33135.876
384.034,1000,33174.407
390.079,1000,33211.736
390.352,1000,33246.179
390.624,1000,33284.082
390.896,1000,33316.294
391.167,1000,33355.507
391.437,1000,33389.117
392.376,1000,33421.648
393.314,1000,33460.184
394.251,1000,33494.464
395.188,1000,33526.613
396.124,1000,33558.903
394.599,1000,33598.383
393.072,1000,33629.219
391.546,1000,33664.915
390.019,1000,33699.843
388.491,1000,33738.023
379.62,1000,33769.035
370.749,1000,33801.372
361.877,1000,33836.969
353.004,1000,33869.299
344.131,1000,33901.969
353.816,1000,33934.932
363.501,1000,33970.488
373.185,1000,34002.196
382.869,1000,34034.786
392.553,1000,34072.313
386.129,1000,34110.191
379.705,1000,34144.831
373.28,1000,34179.006
366.855,1000,34210.656
360.429,1000,34242.781
373.041,1000,34282.491
385.653,1000,34312.978
398.264,1000,34352.652
410.874,1000,34391.229
423.484,1000,34424.402
413.193,1000,34458.668
402.901,1000,34492.957
392.608,1000,34531.173
382.316,1000,34561.921
372.022,1000,34597.752
378.224,1000,34629.722
384.425,1000,34665.546
390.626,1000,34699.108
396.827,1000,34734.783
403.027,1000,34765.953
401.981,1000,34801.844
400.934,1000,34833.302
399.887,1000,34864.755
398.839,1000,34899.973
397.791,1000,34939.723
397.826,1000,34978.711
397.86,1000,35011.527
397.895,1000,35048.495
397.928,1000,35084.923
